Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges,Shoots,Height,Weight,Origin,Debut,Position
Rasheed Wallace,/players/w/wallara01.html,1996,2013,F-C,6-10,225,"September 17, 1974",UNC,Right,6-10,225lb,"Philadelphia, Pennsylvania","November 3, 1995",Power Forward and Center
Red Wallace,/players/w/wallare01.html,1947,1947,G,6-1,185,"July 12, 1918",University of Scranton,Right,6-1,185lb,"Simpson, Pennsylvania","November 2, 1946",Guard
Tyrone Wallace,/players/w/wallaty01.html,2018,2020,G,6-5,198,"June 10, 1994",California,Left,6-5,198lb,"Bakersfield, California","January 6, 2018",Point Guard and Shooting Guard
Dwight Waller,/players/w/walledw01.html,1969,1972,F,6-6,220,"October 5, 1945",Tennessee State,Right,6-6,220lb,"Brownsville, Tennessee","October 16, 1968",Forward
Jamie Waller,/players/w/walleja01.html,1988,1988,G,6-4,215,"November 20, 1964",Virginia Union University,Right,6-4,215lb,"South Boston, Virg","November 6, 1987",Shooting Guard
Jim Walsh,/players/w/walshji01.html,1958,1958,F,6-4,195,"August 29, 1930",Stanford,Right,6-4,195lb,"San Francisco, California","November 16, 1957",Forward
Matt Walsh,/players/w/walshma01.html,2006,2006,G-F,6-6,205,"December 2, 1982",Florida,Right,6-6,205lb,"Holland, Pennsylvania","November 2, 2005",Shooting Guard
Rex Walters,/players/w/waltere01.html,1994,2000,G,6-4,190,"March 12, 1970","Northwestern, Kansas",Left,6-4,190lb,"Omaha, Nebraska","November 5, 1993",Shooting Guard and Point Guard
Paul Walther,/players/w/walthpa01.html,1950,1955,G-F,6-2,160,"March 23, 1927",Tennessee,Left,6-2,160lb,Cov,"November 2, 1949",Shooting Guard
Isaac Walthour,/players/w/walthis01.html,1954,1954,G,5-11,163,"August 25, 1930",,Right,5-11,163lb,"New York City, New York","October 30, 1953",Guard
Bill Walton,/players/w/waltobi01.html,1975,1987,C-F,6-11,210,"November 5, 1952",UCLA,Right,6-11,210lb,"La Mesa, California","October 18, 1974",Center
Derrick Walton,/players/w/waltode01.html,2018,2022,G,6-0,189,"April 3, 1995",Michigan,Right,6-0,189lb,"Detroit, Michigan","November 6, 2017",Point Guard
Lloyd Walton,/players/w/waltoll01.html,1977,1981,G,6-0,160,"November 23, 1953",Marquette,Right,6-0,160lb,"Chicago, Ill","November 3, 1976",Point Guard
Luke Walton,/players/w/waltolu01.html,2004,2013,F,6-8,235,"March 28, 1980",Arizona,Right,6-8,235lb,"San Diego, California","October 28, 2003",Small Forward and Power Forward
Brad Wanamaker,/players/w/wanambr01.html,2019,2022,G,6-3,210,"July 25, 1989",Pitt,Right,6-3,210lb,"Philadelphia, Pennsylvania","October 16, 2018",Point Guard
Bobby Wanzer,/players/w/wanzebo01.html,1949,1957,G,6-0,170,"June 4, 1921",Seton Hall,Right,6-0,170lb,"Brooklyn, New York","November 6, 1948",Shooting Guard and Point Guard
Perry Warbington,/players/w/warbipe01.html,1975,1975,G,6-2,165,"September 7, 1952",Georgia Southern University,Right,6-2,165lb,"Atlanta, Georgia","October 18, 1974",Point Guard
Charlie Ward,/players/w/wardch01.html,1995,2005,G,6-2,190,"October 12, 1970",Florida State,Right,6-2,190lb,"Thomasville, Georgia","November 12, 1994",Point Guard
Gerry Ward,/players/w/wardge01.html,1964,1967,G,6-4,195,"September 6, 1941",Boston College,Right,6-4,195lb,NA,"October 16, 1963",Shooting Guard
Henry Ward,/players/w/wardhe01.html,1976,1977,G-F,6-4,195,"January 30, 1952",Jackson State University,Right,6-4,195lb,"Jackson, Mississippi","October 23, 1976",Shooting Guard
Casper Ware,/players/w/wareca01.html,2014,2014,G,5-10,175,"January 17, 1990",Cal State Long Beach,Right,5-10,175lb,"Cerritos, California","March 24, 2014",Point Guard
Jim Ware,/players/w/wareji01.html,1967,1969,F,6-7,210,"May 2, 1944",Oklahoma City University,Right,6-7,210lb,"Natchez, Mississippi","October 15, 1966",Power Forward
Ben Warley,/players/w/warlebe01.html,1963,1970,F-G,6-5,200,"September 4, 1936",Tennessee State,Right,6-5,200lb,Wash,"January 22, 1963",Small Forward and Power Forward
Bob Warlick,/players/w/warlibo01.html,1966,1970,G-F,6-5,200,"March 20, 1941",Pepperdine,Right,6-5,200lb,"Hickory, North Carol","November 26, 1965",Shooting Guard
Cornell Warner,/players/w/warneco01.html,1971,1977,F-C,6-9,220,"August 12, 1948",Jackson State University,Right,6-9,220lb,"Jackson, Mississippi","October 14, 1970",Center and Power Forward
Jameel Warney,/players/w/warneja01.html,2018,2018,F,6-8,260,"January 31, 1994",Stony Brook University,Right,6-8,260lb,"New Brunswick, New Jersey","March 11, 2018",Power Forward
Bob Warren,/players/w/warrebo01.html,1969,1976,G,6-5,190,"July 17, 1946",Vanderbilt,Right,6-5,190lb,"Murray, Kentucky",NA,Shooting Guard
John Warren,/players/w/warrejo01.html,1970,1974,G-F,6-3,180,"July 7, 1947",St. John's,Right,6-3,180lb,"Sparta, Georgia","October 14, 1969",Shooting Guard and Point Guard
T.J. Warren,/players/w/warretj01.html,2015,2021,F,6-8,220,"September 5, 1993",NC State,Right,6-8,220lb,"Durham, North Carol","November 9, 2014",Small Forward
Willie Warren,/players/w/warrewi01.html,2011,2011,G,6-4,203,"October 22, 1989",Oklahoma,Right,6-4,203lb,"Dallas, Texas","November 1, 2010",Point Guard
Bryan Warrick,/players/w/warribr01.html,1983,1986,G,6-5,195,"July 22, 1959",Saint Joseph's,Right,6-5,195lb,"Moses Lake, Wash","October 29, 1982",Point Guard
Hakim Warrick,/players/w/warriha01.html,2006,2013,F,6-9,219,"July 8, 1982",Syracuse,Right,6-9,219lb,"Philadelphia, Pennsylvania","November 2, 2005",Power Forward
Chris Washburn,/players/w/washbch01.html,1987,1988,C,6-11,225,"May 13, 1965",NC State,Right,6-11,225lb,"Hickory, North Carol","October 31, 1986",Center
Julian Washburn,/players/w/washbju01.html,2019,2019,F,6-8,210,"December 18, 1991",Texas-El Paso,Right,6-8,210lb,"Duncanville, Texas","January 21, 2019",Small Forward
Bobby Washington,/players/w/washibo01.html,1970,1972,G,5-11,175,"July 11, 1947",Eastern Kentucky University,Right,5-11,175lb,NA,"December 13, 1970",Point Guard
Darius Washington,/players/w/washida01.html,2008,2008,G,6-2,195,"December 6, 1985",Memphis,Right,6-2,195lb,W,"October 30, 2007",Shooting Guard
Donald Washington,/players/w/washido01.html,1975,1976,F,6-8,210,"April 22, 1952",UNC,Right,6-8,210lb,Wash,NA,Power Forward and Small Forward
Duane Washington,/players/w/washidu01.html,1988,1993,G,6-4,195,"August 31, 1964",Middle Tennessee,Right,6-4,195lb,"Eschwege, Germany","March 22, 1988",Shooting Guard
Duane Washington Jr.,/players/w/washidu02.html,2022,2022,G,6-3,210,"March 24, 2000",Ohio State,Right,6-3,210lb,"Frankfurt, Germany","October 29, 2021",Point Guard
Eric Washington,/players/w/washier01.html,1998,1999,G,6-4,190,"March 23, 1974",Alabama,Right,6-4,190lb,"Pearl, Mississippi","November 1, 1997",Shooting Guard
Jim Washington,/players/w/washiji01.html,1966,1976,F-C,6-6,210,"July 1, 1943",Villanova,Right,6-6,210lb,"Philadelphia, Pennsylvania","October 15, 1965",Power Forward  Small Forward  and Center
Kermit Washington,/players/w/washike01.html,1974,1988,F-C,6-8,230,"September 17, 1951",American University,Right,6-8,230lb,Wash,"October 9, 1973",Power Forward
P.J. Washington,/players/w/washipj01.html,2020,2022,F,6-7,230,"August 23, 1998",Kentucky,Right,6-7,230lb,"Louisville, Kentucky","October 23, 2019",Power Forward
Pearl Washington,/players/w/washipe01.html,1987,1989,G,6-2,190,"January 6, 1964",Syracuse,Right,6-2,190lb,"Brooklyn, New York","October 31, 1986",Point Guard
Richard Washington,/players/w/washiri01.html,1977,1982,F-C,6-11,220,"July 15, 1955",UCLA,Right,6-11,220lb,"Portland, Oregon","October 22, 1976",Power Forward
Stan Washington,/players/w/washist01.html,1975,1975,G,6-4,190,"January 23, 1952",University of San Diego,Right,6-4,190lb,Wash,"October 19, 1974",Shooting Guard
Trooper Washington,/players/w/washitr01.html,1968,1973,F-C,6-7,215,"April 21, 1944",Cheyney (PA),Right,6-7,215lb,"Philadelphia, Pennsylvania",NA,Power Forward and Center
Wilson Washington,/players/w/washiwi01.html,1978,1979,F-C,6-9,227,"August 3, 1955",Old Dominion,Right,6-9,227lb,"Norfolk, Virg","November 12, 1977",Power Forward
Yuta Watanabe,/players/w/watanyu01.html,2019,2022,F,6-9,215,"October 13, 1994",George Washington,Left,6-9,215lb,"Yokohama, Japan","October 27, 2018",Small Forward
Lindy Waters III,/players/w/waterli01.html,2022,2022,G,6-6,215,"July 28, 1997",Oklahoma State,Right,6-6,215lb,"Norman, Oklahoma","February 11, 2022",Shooting Guard
Tremont Waters,/players/w/watertr01.html,2020,2022,G,5-10,175,"January 10, 1998",LSU,Right,5-10,175lb,"New Haven, Connecticut","November 25, 2019",Point Guard
Trendon Watford,/players/w/watfotr01.html,2022,2022,F,6-9,240,"November 9, 2000",LSU,Right,6-9,240lb,Birm,"November 14, 2021",Small Forward
Darryl Watkins,/players/w/watkida01.html,2008,2012,C,6-11,258,"November 8, 1984",Syracuse,Right,6-11,258lb,"Paterson, New Jersey","October 31, 2007",Center
Bobby Watson,/players/w/watsobo01.html,1955,1955,G,6-0,160,"March 22, 1930",Kentucky,Right,6-0,160lb,"Central City, Kentucky","October 30, 1954",Point Guard
C.J. Watson,/players/w/watsocj01.html,2008,2017,G,6-2,175,"April 17, 1984",Tennessee,Right,6-2,175lb,"Las Vegas, Nevada","January 9, 2008",Point Guard
Earl Watson,/players/w/watsoea01.html,2002,2014,G,6-1,195,"June 12, 1979",UCLA,Right,6-1,195lb,"Kansas City, Kansas","October 30, 2001",Point Guard
Jamie Watson,/players/w/watsoja01.html,1995,1999,F,6-7,190,"February 23, 1972",South Carolina,Right,6-7,190lb,"Elm City, North Carol","November 4, 1994",Small Forward
Paul Watson,/players/w/watsopa01.html,2020,2022,G,6-6,210,"December 30, 1994",Fresno State,Right,6-6,210lb,"Phoenix, Arizona","January 8, 2020",Small Forward
Ron Watts,/players/w/wattsro01.html,1966,1967,F,6-6,210,"May 21, 1943",Wake Forest,Right,6-6,210lb,NA,"October 23, 1965",Forward
Samuel Watts,/players/w/wattssa01.html,1971,1971,G,6-3,185,"March 14, 1948",Florida A&M,Right,6-3,185lb,NA,NA,Shooting Guard
Slick Watts,/players/w/wattssl01.html,1974,1979,G,6-1,175,"July 22, 1951",Xavier University of Louisiana,Right,6-1,175lb,Roll,"October 17, 1973",Point Guard
Maalik Wayns,/players/w/waynsma01.html,2013,2014,G,6-2,200,"May 2, 1991",Villanova,Right,6-2,200lb,"Philadelphia, Pennsylvania","October 31, 2012",Point Guard
David Wear,/players/w/wearda01.html,2015,2015,F,6-10,230,"September 21, 1990","UNC, UCLA",Right,6-10,230lb,"Long Beach, California","March 30, 2015",Power Forward
Travis Wear,/players/w/weartr01.html,2015,2018,F,6-10,230,"September 21, 1990","UNC, UCLA",Right,6-10,230lb,"Long Beach, California","October 29, 2014",Small Forward
Clarence Weatherspoon,/players/w/weathcl01.html,1993,2005,F,6-6,240,"September 8, 1970",Southern Miss,Right,6-6,240lb,"Crawford, Mississippi","November 6, 1992",Power Forward and Small Forward
Nick Weatherspoon,/players/w/weathni01.html,1974,1980,F,6-7,195,"July 20, 1950",Illinois,Right,6-7,195lb,"Greenwood, Mississippi","October 9, 1973",Small Forward
Quinndary Weatherspoon,/players/w/weathqu01.html,2020,2022,G,6-3,205,"September 10, 1996",Mississippi State,Right,6-3,205lb,"Canton, Mississippi","February 8, 2020",Shooting Guard
Kyle Weaver,/players/w/weaveky01.html,2009,2011,G,6-6,201,"February 18, 1986",Washington State,Right,6-6,201lb,"Janesville, Wiscons","October 29, 2008",Shooting Guard
James Webb III,/players/w/webbja01.html,2018,2018,F,6-9,202,"August 19, 1993",Boise State,Right,6-9,202lb,"Augusta, Georgia","January 27, 2018",Small Forward
Jeff Webb,/players/w/webbje01.html,1971,1972,G,6-4,170,"July 6, 1948",Kansas State,Right,6-4,170lb,NA,"October 31, 1970",Shooting Guard
Marcus Webb,/players/w/webbma01.html,1993,1993,F-C,6-9,255,"May 9, 1970",Alabama,Right,6-9,255lb,"Montgomery, Alabama","November 25, 1992",Power Forward
Spud Webb,/players/w/webbsp01.html,1986,1998,G,5-6,133,"July 13, 1963","Midland College, NC State",Right,5-6,133lb,"Dallas, Texas","October 25, 1985",Point Guard
Chris Webber,/players/w/webbech01.html,1994,2008,F-C,6-9,245,"March 1, 1973",Michigan,Right,6-9,245lb,"Detroit, Michigan","November 9, 1993",Power Forward and Center
Briante Weber,/players/w/weberbr01.html,2016,2018,G,6-2,165,"December 29, 1992",VCU,Right,6-2,165lb,"Chesapeake, Virg","March 11, 2016",Point Guard
Jake Weber,/players/w/weberja01.html,1947,1947,C,6-6,225,"March 18, 1918",Purdue,Right,6-6,225lb,"Rushville, Indiana","November 1, 1946",Center
Elnardo Webster,/players/w/webstel01.html,1972,1972,F,6-5,190,"March 6, 1948",Saint Peter's College,Right,6-5,190lb,"Jersey City, New Jersey",NA,Small Forward
Jeff Webster,/players/w/webstje01.html,1996,1996,F,6-8,232,"February 19, 1971",Oklahoma,Right,6-8,232lb,P,"November 3, 1995",Small Forward
Martell Webster,/players/w/webstma02.html,2006,2015,G-F,6-7,230,"December 4, 1986",,Right,6-7,230lb,"Edmonds, Wash","November 4, 2005",Small Forward
Marvin Webster,/players/w/webstma01.html,1976,1987,C,7-1,225,"April 13, 1952",Morgan State University,Right,7-1,225lb,"Baltimore, Maryland","October 22, 1976",Center
Scott Wedman,/players/w/wedmasc01.html,1975,1987,F-G,6-7,215,"July 29, 1952",Colorado,Right,6-7,215lb,"Harper, Kansas","October 19, 1974",Small Forward
Sonny Weems,/players/w/weemsso01.html,2009,2016,G-F,6-6,205,"July 8, 1986",Arkansas,Right,6-6,205lb,"West Memphis, Arkansas","January 17, 2009",Shooting Guard and Small Forward
Dick Wehr,/players/w/wehrdi01.html,1949,1949,F,6-4,180,"December 9, 1925",Rice University,Right,6-4,180lb,"Caldwell, Ohio","November 1, 1948",Forward
Brant Weidner,/players/w/weidnbr01.html,1984,1984,F,6-9,230,"October 28, 1960",William & Mary,Right,6-9,230lb,"Orefield, Pennsylvania","March 6, 1984",Power Forward
Bob Weiss,/players/w/weissbo01.html,1966,1977,G,6-2,180,"May 7, 1942",Penn State,Left,6-2,180lb,"Easton, Pennsylvania","October 16, 1965",Point Guard and Shooting Guard
Rick Weitzman,/players/w/weitzri01.html,1968,1968,G,6-2,175,"April 30, 1946",Northeastern University,Right,6-2,175lb,NA,"October 14, 1967",Shooting Guard
Bonzi Wells,/players/w/wellsbo01.html,1999,2008,G-F,6-5,210,"September 28, 1976",Ball State University,Right,6-5,210lb,"Muncie, Indiana","February 8, 1999",Shooting Guard and Small Forward
Bubba Wells,/players/w/wellsbu01.html,1998,1998,F,6-5,230,"July 26, 1974",Austin Peay State University,Right,6-5,230lb,"Russellville, Kentucky","November 1, 1997",Shooting Guard
Owen Wells,/players/w/wellsow01.html,1975,1975,F,6-7,200,"December 9, 1950",Detroit Mercy,Right,6-7,200lb,"Providence, Rhode Island","October 25, 1974",Small Forward
Ralph Wells,/players/w/wellsra01.html,1963,1963,G,6-1,180,"September 3, 1940",Northwestern,Right,6-1,180lb,NA,"October 26, 1962",Guard
Chris Welp,/players/w/welpch01.html,1988,1990,C,7-0,245,"January 2, 1964",Washington,Left,7-0,245lb,"Delmenhorst, Germany","November 6, 1987",Center
Jiří Welsch,/players/w/welscji01.html,2003,2006,G,6-7,208,"January 27, 1980",,Right,6-7,208lb,"Pardubice, Czech Republic","October 30, 2002",Small Forward and Shooting Guard
Thomas Welsh,/players/w/welshth01.html,2019,2019,C,7-0,255,"February 3, 1996",UCLA,Right,7-0,255lb,"Torrance, California","October 17, 2018",Center
Bill Wennington,/players/w/wennibi01.html,1986,2000,C,7-0,245,"April 26, 1963",St. John's,Right,7-0,245lb,"Montreal, Canada","October 29, 1985",Center
Matt Wenstrom,/players/w/wenstma01.html,1994,1994,C,7-1,250,"November 4, 1970",UNC,Right,7-1,250lb,M,"November 6, 1993",Center
Robert Werdann,/players/w/werdaro01.html,1993,1997,C,6-11,250,"September 12, 1970",St. John's,Right,6-11,250lb,"Sunnyside, New York","November 8, 1992",Center
Ray Wertis,/players/w/wertira01.html,1947,1948,G,5-11,NA,"July 30, 1923",St. John's,Right,5-11,NA,"Elmhurst, New York","November 1, 1946",Guard
David Wesley,/players/w/wesleda01.html,1994,2007,G,6-0,190,"November 14, 1970",Baylor,Right,6-0,190lb,"San Antonio, Texas","December 7, 1993",Shooting Guard and Point Guard
Walt Wesley,/players/w/weslewa01.html,1967,1976,C,6-11,220,"January 25, 1945",Kansas,Right,6-11,220lb,"Fort Myers, Florida","October 15, 1966",Center
David West,/players/w/westda01.html,2004,2018,F-C,6-9,250,"August 29, 1980",Xavier,Right,6-9,250lb,"Teaneck, New Jersey","October 29, 2003",Power Forward  Center  and Small Forward
Delonte West,/players/w/westde01.html,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's,Left,6-4,180lb,Wash,"November 26, 2004",Point Guard and Shooting Guard
Doug West,/players/w/westdo01.html,1990,2001,G-F,6-6,200,"May 27, 1967",Villanova,Right,6-6,200lb,"Altoona, Pennsylvania","November 3, 1989",Shooting Guard
Jerry West,/players/w/westje01.html,1961,1974,G,6-3,175,"May 28, 1938",West Virginia,Right,6-3,175lb,"Chelyan, West Virg","October 19, 1960",Point Guard and Shooting Guard
Mario West,/players/w/westma02.html,2008,2011,G,6-5,210,"June 19, 1984",Georgia Tech,Right,6-5,210lb,"Huntsville, Alabama","November 2, 2007",Shooting Guard
Mark West,/players/w/westma01.html,1984,2000,C-F,6-10,230,"November 5, 1960",Old Dominion,Right,6-10,230lb,"Petersburg, Virg","October 29, 1983",Center
Roland West,/players/w/westro01.html,1968,1968,G,6-4,178,"June 6, 1944",Cincinnati,Right,6-4,178lb,NA,"October 18, 1967",Guard
Dexter Westbrook,/players/w/westbde01.html,1968,1968,F,6-8,190,,Providence,Right,6-8,190lb,NA,NA,Forward
Russell Westbrook,/players/w/westbru01.html,2009,2022,G,6-3,200,"November 12, 1988",UCLA,Right,6-3,200lb,"Long Beach, California","October 29, 2008",Point Guard
Paul Westphal,/players/w/westppa01.html,1973,1984,G,6-4,195,"November 30, 1950",USC,Right,6-4,195lb,"Torrance, California","October 11, 1972",Shooting Guard and Point Guard
John Wetzel,/players/w/wetzejo01.html,1968,1976,G-F,6-5,190,"October 22, 1944",Virginia Tech,Right,6-5,190lb,"Waynesboro, Virg","October 17, 1967",Shooting Guard and Small Forward
Robert Whaley,/players/w/whalero01.html,2006,2006,C,6-10,260,"April 16, 1982","Barton County Community College, Cincinnati, Walsh University",Right,6-10,260lb,"Benton Harbor, Michigan","November 14, 2005",Center
Ennis Whatley,/players/w/whatlen01.html,1984,1997,G,6-3,177,"August 11, 1962",Alabama,Right,6-3,177lb,Birm,"October 29, 1983",Point Guard
DeJuan Wheat,/players/w/wheatde01.html,1998,1999,G,6-0,165,"October 14, 1973",Louisville,Right,6-0,165lb,"Louisville, Kentucky","October 31, 1997",Point Guard
Clinton Wheeler,/players/w/wheelcl01.html,1988,1989,G,6-1,185,"October 27, 1959",William Paterson University,Right,6-1,185lb,"Neptune, New Jersey","November 7, 1987",Point Guard
Tyson Wheeler,/players/w/wheelty01.html,1999,1999,G,5-10,165,"October 8, 1975",Rhode Island,Left,5-10,165lb,New Brita,"February 8, 1999",Point Guard
Skippy Whitaker,/players/w/whitask01.html,1955,1955,G,6-1,180,"August 29, 1930",Kentucky,Right,6-1,180lb,"Quantico, Virg","February 8, 1955",Point Guard
Andrew White,/players/w/whitean01.html,2018,2018,G,6-7,210,"June 16, 1993","Nebraska, Syracuse",Right,6-7,210lb,"Richmond, Virg","February 14, 2018",Small Forward
Coby White,/players/w/whiteco01.html,2020,2022,G,6-5,195,"February 16, 2000",UNC,Right,6-5,195lb,"Goldsboro, North Carol","October 23, 2019",Point Guard
D.J. White,/players/w/whitedj01.html,2009,2014,F,6-9,251,"August 31, 1986",Indiana,Right,6-9,251lb,"Tuscaloosa, Alabama","April 5, 2009",Power Forward and Center
Derrick White,/players/w/whitede01.html,2018,2022,G,6-4,190,"July 2, 1994","Colorado-Colorado Springs, Colorado",Right,6-4,190lb,"Parker, Colorado","October 18, 2017",Shooting Guard and Point Guard
Eric White,/players/w/whiteer01.html,1988,1989,F,6-8,200,"December 30, 1965",Pepperdine,Right,6-8,200lb,"San Francisco, California","March 25, 1988",Small Forward
Herb White,/players/w/whitehe01.html,1971,1971,G,6-2,195,"June 15, 1948",Georgia,Right,6-2,195lb,NA,"October 22, 1970",Point Guard
Hubie White,/players/w/whitehu01.html,1963,1971,G-F,6-4,205,"January 26, 1940",Villanova,Right,6-4,205lb,NA,"October 23, 1962",Shooting Guard
Jahidi White,/players/w/whiteja01.html,1999,2005,F-C,6-9,290,"February 19, 1976",Georgetown,Right,6-9,290lb,"St. Louis, Missouri","February 5, 1999",Center and Power Forward
