Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
Ralph Siewert,/players/s/siewera01.html,1947,1947,C,7-1,230,"December 31, 1923",Dakota Wesleyan University
Jack Sikma,/players/s/sikmaja01.html,1978,1991,C-F,6-11,230,"November 14, 1955",Illinois Wesleyan University
James Silas,/players/s/silasja01.html,1973,1982,G,6-1,180,"February 11, 1949",Stephen F. Austin
Paul Silas,/players/s/silaspa01.html,1965,1980,F-C,6-7,220,"July 12, 1943",Creighton
Xavier Silas,/players/s/silasxa01.html,2012,2018,G,6-5,205,"January 22, 1988","Colorado, Northern Illinois"
Garret Siler,/players/s/silerga01.html,2011,2011,C,6-11,305,"October 25, 1986",Augusta State University
Mike Silliman,/players/s/sillimi01.html,1971,1971,F,6-6,225,"May 5, 1944",United States Military Academy
Chris Silva,/players/s/silvach01.html,2020,2022,F,6-8,234,"September 19, 1996",South Carolina
Wayne Simien,/players/s/simiewa01.html,2006,2007,F,6-9,255,"March 9, 1983",Kansas
Ben Simmons,/players/s/simmobe01.html,2018,2021,G-F,6-11,240,"July 20, 1996",LSU
Bobby Simmons,/players/s/simmobo01.html,2002,2012,G-F,6-7,210,"June 2, 1980",DePaul
Cedric Simmons,/players/s/simmoce01.html,2007,2009,F,6-9,235,"January 3, 1986",NC State
Connie Simmons,/players/s/simmoco01.html,1947,1956,C-F,6-8,222,"March 15, 1925",
Grant Simmons,/players/s/simmogr01.html,1968,1969,G,6-3,190,"March 7, 1943",Nebraska
Johnny Simmons,/players/s/simmojo01.html,1947,1947,G,6-1,184,"July 7, 1924",NYU
Jonathon Simmons,/players/s/simmojo02.html,2016,2019,G-F,6-6,195,"September 14, 1989",Houston
Kobi Simmons,/players/s/simmoko01.html,2018,2019,G,6-5,166,"July 4, 1997",Arizona
Lionel Simmons,/players/s/simmoli01.html,1991,1997,F-G,6-7,210,"November 14, 1968",La Salle
Miles Simon,/players/s/simonmi01.html,1999,1999,G,6-3,202,"November 21, 1975",Arizona
Walter Simon,/players/s/simonwa01.html,1968,1974,F-G,6-6,200,"December 1, 1939",Benedict College
Marko Simonovic,/players/s/simonma01.html,2022,2022,C,6-11,216,"October 15, 1999",
Anfernee Simons,/players/s/simonan01.html,2019,2022,G,6-3,181,"June 8, 1999",
Dickey Simpkins,/players/s/simpkdi01.html,1995,2002,F,6-9,248,"April 6, 1972",Providence
Ralph Simpson,/players/s/simpsra01.html,1971,1980,G-F,6-5,200,"August 10, 1949",Michigan State
Alvin Sims,/players/s/simsal01.html,1999,1999,G,6-4,235,"October 18, 1974",Louisville
Bob Sims,/players/s/simsbo01.html,1962,1968,G-F,6-5,220,"October 9, 1938",Pepperdine
Courtney Sims,/players/s/simsco01.html,2008,2009,C,6-10,245,"October 21, 1983",Michigan
Doug Sims,/players/s/simsdo01.html,1969,1969,F,6-7,195,"June 29, 1943",Kent State University
Henry Sims,/players/s/simshe01.html,2013,2016,C,6-10,248,"March 27, 1990",Georgetown
Jericho Sims,/players/s/simsje01.html,2022,2022,F,6-10,245,"October 20, 1998",Texas
Scott Sims,/players/s/simssc01.html,1978,1978,G,6-1,170,"April 18, 1955",Missouri
Kyle Singler,/players/s/singlky01.html,2013,2018,F,6-8,228,"May 4, 1988",Duke
Sean Singletary,/players/s/singlse01.html,2009,2009,G,6-0,185,"September 6, 1985",Virginia
Chris Singleton,/players/s/singlch01.html,2012,2014,F,6-8,230,"November 21, 1989",Florida State
James Singleton,/players/s/singlja01.html,2006,2012,F,6-8,216,"July 20, 1981",Murray State
McKinley Singleton,/players/s/singlmc01.html,1987,1987,G,6-5,175,"October 29, 1961",UAB
Zeke Sinicola,/players/s/sinicze01.html,1952,1954,G,5-10,165,"January 25, 1929",Niagara University
Deividas Sirvydis,/players/s/sirvyde01.html,2021,2022,G-F,6-8,190,"June 10, 2000",
Charlie Sitton,/players/s/sittoch01.html,1985,1985,F,6-8,210,"July 3, 1962",Oregon State
Peyton Siva,/players/s/sivape01.html,2014,2014,G,6-0,185,"October 24, 1990",Louisville
Scott Skiles,/players/s/skilesc01.html,1987,1996,G,6-1,180,"March 5, 1964",Michigan State
Al Skinner,/players/s/skinnal01.html,1975,1980,G,6-3,190,"June 16, 1952",UMass
Brian Skinner,/players/s/skinnbr01.html,1999,2012,F,6-9,255,"May 19, 1976",Baylor
Tal Skinner,/players/s/skinnta01.html,1975,1976,F-G,6-5,195,"September 10, 1952",University of Maryland Eastern Shore
Whitey Skoog,/players/s/skoogwh01.html,1952,1957,G,5-11,180,"November 2, 1926",Minnesota
Jeff Slade,/players/s/sladeje01.html,1963,1963,F,6-6,220,"March 1, 1941",Kenyon College
Reggie Slater,/players/s/slatere01.html,1995,2003,F,6-7,215,"August 27, 1970",Wyoming
Jim Slaughter,/players/s/slaugji01.html,1952,1952,C,6-11,210,"May 13, 1928",South Carolina
Jose Slaughter,/players/s/slaugjo01.html,1983,1983,G,6-5,205,"September 9, 1960",University of Portland
Tamar Slay,/players/s/slayta01.html,2003,2005,G,6-8,215,"April 2, 1980",Marshall
Donald Sloan,/players/s/sloando01.html,2012,2016,G,6-3,205,"January 15, 1988",Texas A&M
Jerry Sloan,/players/s/sloanje01.html,1966,1976,G-F,6-5,195,"March 28, 1942",University of Evansville
Uroš Slokar,/players/s/slokaur01.html,2007,2007,F,6-10,238,"May 14, 1983",
Tom Sluby,/players/s/slubyto01.html,1985,1985,G,6-4,200,"February 18, 1962",Notre Dame
Alen Smailagić,/players/s/smailal01.html,2020,2021,F,6-10,215,"August 18, 2000",
Javonte Smart,/players/s/smartja01.html,2022,2022,G,6-4,205,"June 3, 1999",LSU
Keith Smart,/players/s/smartke01.html,1989,1989,G,6-1,175,"September 21, 1964",Indiana
Marcus Smart,/players/s/smartma01.html,2015,2022,G,6-3,220,"March 6, 1994",Oklahoma State
Belus Smawley,/players/s/smawlbe01.html,1947,1952,G-F,6-1,195,"March 20, 1918",Appalachian State University
Jack Smiley,/players/s/smileja01.html,1949,1950,F-G,6-3,190,"December 22, 1922",Illinois
Adrian Smith,/players/s/smithad01.html,1962,1972,G,6-1,180,"October 5, 1936",Kentucky
Al Smith,/players/s/smithal01.html,1972,1976,G,6-1,185,"January 15, 1947",Bradley
Bill Smith,/players/s/smithbi01.html,1962,1962,G-F,6-5,190,"April 26, 1939",Saint Peter's College
Bingo Smith,/players/s/smithbi02.html,1970,1980,F-G,6-5,195,"February 26, 1946",Tulsa
Bobby Smith,/players/s/smithbo01.html,1960,1962,G,6-4,190,"August 20, 1937",West Virginia
Charles Smith,/players/s/smithch01.html,1989,1997,F-C,6-10,230,"July 16, 1965",Pitt
Charles Smith,/players/s/smithch01.html,1990,1996,G,6-1,160,"November 29, 1967",Georgetown
Charles Smith,/players/s/smithch01.html,1998,2006,G,6-4,194,"August 22, 1975",New Mexico
Charles Smith,/players/s/smithch02.html,1989,1997,F-C,6-10,230,"July 16, 1965",Pitt
Charles Smith,/players/s/smithch02.html,1990,1996,G,6-1,160,"November 29, 1967",Georgetown
Charles Smith,/players/s/smithch02.html,1998,2006,G,6-4,194,"August 22, 1975",New Mexico
Charles Smith,/players/s/smithch04.html,1989,1997,F-C,6-10,230,"July 16, 1965",Pitt
Charles Smith,/players/s/smithch04.html,1990,1996,G,6-1,160,"November 29, 1967",Georgetown
Charles Smith,/players/s/smithch04.html,1998,2006,G,6-4,194,"August 22, 1975",New Mexico
Chris Smith,/players/s/smithch03.html,1993,1995,G,6-3,190,"May 17, 1970",UConn
Chris Smith,/players/s/smithch03.html,2014,2014,G,6-2,200,"October 13, 1987","Manhattan College, Louisville"
Chris Smith,/players/s/smithch05.html,1993,1995,G,6-3,190,"May 17, 1970",UConn
Chris Smith,/players/s/smithch05.html,2014,2014,G,6-2,200,"October 13, 1987","Manhattan College, Louisville"
Clinton Smith,/players/s/smithcl01.html,1987,1991,F,6-6,210,"January 19, 1964","Ohio State, Cleveland State University"
Craig Smith,/players/s/smithcr01.html,2007,2012,F,6-7,250,"November 10, 1983",Boston College
Deb Smith,/players/s/smithde01.html,1947,1947,F,6-3,180,"January 7, 1920",Utah
Dennis Smith Jr.,/players/s/smithde03.html,2018,2022,G,6-2,205,"November 25, 1997",NC State
Derek Smith,/players/s/smithde02.html,1983,1991,G-F,6-6,205,"November 1, 1961",Louisville
Don Smith,/players/s/smithdo01.html,1949,1949,G-F,6-2,190,"July 27, 1920",Minnesota
Don Smith,/players/s/smithdo01.html,1975,1975,G,6-0,160,"October 10, 1951",Dayton
Don Smith,/players/s/smithdo02.html,1949,1949,G-F,6-2,190,"July 27, 1920",Minnesota
Don Smith,/players/s/smithdo02.html,1975,1975,G,6-0,160,"October 10, 1951",Dayton
Donta Smith,/players/s/smithdo04.html,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College
Doug Smith,/players/s/smithdo03.html,1992,1996,F,6-10,220,"September 17, 1969",Missouri
Ed Smith,/players/s/smithed01.html,1954,1954,F,6-6,180,"July 5, 1929",Harvard University
Elmore Smith,/players/s/smithel01.html,1972,1979,C,7-0,250,"May 9, 1949",Kentucky State University
Garfield Smith,/players/s/smithga01.html,1971,1973,C-F,6-9,235,"November 18, 1945",Eastern Kentucky University
Greg Smith,/players/s/smithgr01.html,1969,1976,F,6-5,195,"January 28, 1947",Western Kentucky
Greg Smith,/players/s/smithgr01.html,2012,2016,C,6-10,250,"January 8, 1991",Fresno State
Greg Smith,/players/s/smithgr02.html,1969,1976,F,6-5,195,"January 28, 1947",Western Kentucky
Greg Smith,/players/s/smithgr02.html,2012,2016,C,6-10,250,"January 8, 1991",Fresno State
Ish Smith,/players/s/smithis01.html,2011,2022,G,6-0,175,"July 5, 1988",Wake Forest
J.R. Smith,/players/s/smithjr01.html,2005,2020,G-F,6-6,225,"September 9, 1985",
Jabari Smith,/players/s/smithja01.html,2001,2005,C,6-11,250,"February 12, 1977",LSU
Jalen Smith,/players/s/smithja04.html,2021,2022,F,6-10,215,"March 16, 2000",Maryland
Jason Smith,/players/s/smithja02.html,2008,2019,F-C,7-0,240,"March 2, 1986",Colorado State
Jerry Smith,/players/s/smithje01.html,2012,2012,G,6-2,190,"September 26, 1987",Louisville
Jim Smith,/players/s/smithji01.html,1982,1983,F,6-9,225,"April 12, 1958",Ohio State
Joe Smith,/players/s/smithjo02.html,1996,2011,F,6-10,225,"July 26, 1975",Maryland
John Smith,/players/s/smithjo01.html,1969,1970,C,7-0,235,"May 24, 1944",University of Southern Colorado
Josh Smith,/players/s/smithjo03.html,2005,2018,F,6-9,225,"December 5, 1985",
Keith Smith,/players/s/smithke03.html,1987,1987,G,6-3,180,"March 9, 1964",Loyola Marymount
Ken Smith,/players/s/smithke02.html,1976,1976,F,6-7,185,"July 12, 1953",Tulsa
Kenny Smith,/players/s/smithke01.html,1988,1997,G,6-3,170,"March 8, 1965",UNC
LaBradford Smith,/players/s/smithla02.html,1992,1994,G,6-3,200,"April 3, 1969",Louisville
Larry Smith,/players/s/smithla01.html,1981,1993,F-C,6-8,215,"January 18, 1958",Alcorn State
Leon Smith,/players/s/smithle01.html,2002,2004,C,6-10,235,"November 2, 1980",
Michael Smith,/players/s/smithmi01.html,1990,1995,F,6-10,225,"May 19, 1965",BYU
Michael Smith,/players/s/smithmi01.html,1995,2001,F,6-8,230,"March 28, 1972",Providence
Michael Smith,/players/s/smithmi02.html,1990,1995,F,6-10,225,"May 19, 1965",BYU
Michael Smith,/players/s/smithmi02.html,1995,2001,F,6-8,230,"March 28, 1972",Providence
Mike Smith,/players/s/smithmi03.html,2001,2001,F,6-8,195,"April 15, 1976",Louisiana-Monroe
Nolan Smith,/players/s/smithno01.html,2012,2013,G,6-2,185,"July 25, 1988",Duke
Otis Smith,/players/s/smithot01.html,1987,1992,G-F,6-5,210,"January 30, 1964",Jacksonville University
Pete Smith,/players/s/smithpe01.html,1973,1973,F,6-6,205,,Valdosta State University
Phil Smith,/players/s/smithph01.html,1975,1983,G,6-4,185,"April 22, 1952",San Francisco
Randy Smith,/players/s/smithra01.html,1972,1983,G-F,6-3,180,"December 12, 1948",Buffalo State
Reggie Smith,/players/s/smithre01.html,1993,1994,C,6-10,240,"August 21, 1970",TCU
Robert Smith,/players/s/smithro01.html,1978,1985,G,5-11,165,"March 10, 1955",UNLV
Russ Smith,/players/s/smithru01.html,2015,2016,G,6-0,165,"April 19, 1991",Louisville
Sam Smith,/players/s/smithsa01.html,1968,1971,F,6-7,230,"January 27, 1944",Kentucky Wesleyan College
Sam Smith,/players/s/smithsa01.html,1979,1980,G,6-4,200,"January 8, 1955",UNLV
Sam Smith,/players/s/smithsa02.html,1968,1971,F,6-7,230,"January 27, 1944",Kentucky Wesleyan College
Sam Smith,/players/s/smithsa02.html,1979,1980,G,6-4,200,"January 8, 1955",UNLV
Steve Smith,/players/s/smithst01.html,1992,2005,G,6-7,200,"March 31, 1969",Michigan State
Steven Smith,/players/s/smithst03.html,2007,2007,F,6-8,235,"April 12, 1983",La Salle
Stevin Smith,/players/s/smithst02.html,1997,1997,G,6-2,208,"January 24, 1972",Arizona State
Theron Smith,/players/s/smithth01.html,2004,2005,F,6-8,225,"October 3, 1980",Ball State University
Tony Smith,/players/s/smithto02.html,1991,2001,G,6-3,185,"June 14, 1968",Marquette
William Smith,/players/s/smithwi01.html,1972,1973,C,7-0,220,"February 14, 1949",Syracuse
Willie Smith,/players/s/smithwi02.html,1977,1980,G,6-2,170,"October 26, 1953",Missouri
Zhaire Smith,/players/s/smithzh01.html,2019,2020,G,6-3,205,"June 4, 1999",Texas Tech
Rik Smits,/players/s/smitsri01.html,1989,2000,C,7-4,250,"August 23, 1966",Marist College
Mike Smrek,/players/s/smrekmi01.html,1986,1992,C,7-0,250,"August 31, 1962",Canisius
Joe Smyth,/players/s/smythjo01.html,1954,1954,F,6-3,215,"May 22, 1929",Niagara University
Xavier Sneed,/players/s/sneedxa01.html,2022,2022,F,6-5,215,"December 21, 1997",Kansas State
Tony Snell,/players/s/snellto01.html,2014,2022,G-F,6-6,213,"November 10, 1991",New Mexico
Eric Snow,/players/s/snower01.html,1996,2008,G,6-3,190,"April 24, 1973",Michigan State
Dick Snyder,/players/s/snydedi01.html,1967,1979,G-F,6-5,207,"February 1, 1944",Davidson
Kirk Snyder,/players/s/snydeki01.html,2005,2008,G,6-6,225,"June 5, 1983",Nevada
Chips Sobek,/players/s/sobekch01.html,1950,1950,G-F,6-0,180,"February 10, 1920",Notre Dame
Ricky Sobers,/players/s/soberri01.html,1976,1986,G,6-3,198,"January 15, 1953",UNLV
Ron Sobie,/players/s/sobiero01.html,1957,1960,G,6-3,185,"September 21, 1934",DePaul
Mike Sojourner,/players/s/sojoumi01.html,1975,1977,C-F,6-9,225,"October 16, 1953",Utah
Willie Sojourner,/players/s/sojouwi01.html,1972,1975,C-F,6-8,225,"September 10, 1948",Weber State
Will Solomon,/players/s/solomwi01.html,2002,2009,G,6-1,185,"July 20, 1978",Clemson
Willie Somerset,/players/s/somerwi01.html,1966,1969,G,5-8,170,"March 17, 1942",Duquesne
Darius Songaila,/players/s/songada01.html,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest
Dave Sorenson,/players/s/sorenda01.html,1971,1973,F,6-8,225,"July 8, 1948",Ohio State
James Southerland,/players/s/southja01.html,2014,2014,F,6-8,215,"April 28, 1990",Syracuse
Gino Sovran,/players/s/sovragi01.html,1947,1947,F-G,6-2,175,"December 17, 1924",Detroit Mercy
Pape Sow,/players/s/sowpa01.html,2005,2007,F,6-10,250,"November 22, 1981",Cal State Fullerton
Ken Spain,/players/s/spainke01.html,1971,1971,C,6-9,225,"October 6, 1946",Houston
Ray Spalding,/players/s/spaldra01.html,2019,2021,F,6-10,215,"March 11, 1997",Louisville
Jim Spanarkel,/players/s/spanaji01.html,1980,1984,G-F,6-5,190,"June 28, 1957",Duke
Vassilis Spanoulis,/players/s/spanova01.html,2007,2007,G,6-4,195,"August 7, 1982",
Daniel Sparks,/players/s/sparkda01.html,1969,1970,F,6-8,200,"April 17, 1945","Vincennes University, Weber State"
Guy Sparrow,/players/s/sparrgu01.html,1958,1960,F,6-6,218,"November 2, 1932",Detroit Mercy
Rory Sparrow,/players/s/sparrro01.html,1981,1992,G,6-2,175,"June 12, 1958",Villanova
Odie Spears,/players/s/spearod01.html,1949,1957,G,6-5,205,"June 17, 1924",Western Kentucky
Art Spector,/players/s/spectar01.html,1947,1950,F,6-4,200,"October 17, 1920",Villanova
Marreese Speights,/players/s/speigma01.html,2009,2018,C-F,6-10,255,"August 4, 1987",Florida
Omari Spellman,/players/s/spellom01.html,2019,2020,F,6-8,245,"July 21, 1997",Villanova
Andre Spencer,/players/s/spencan01.html,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University
Elmore Spencer,/players/s/spencel01.html,1993,1997,C,7-0,270,"December 6, 1969","Georgia, UNLV"
Felton Spencer,/players/s/spencfe01.html,1991,2002,C,7-0,265,"January 15, 1968",Louisville
Lou Spicer,/players/s/spicelo01.html,1947,1947,F,6-2,195,"November 12, 1922",Syracuse
Craig Spitzer,/players/s/spitzcr01.html,1968,1968,C,7-0,225,"December 18, 1945",Tulane
Tiago Splitter,/players/s/splitti01.html,2011,2017,F-C,6-11,245,"January 1, 1985",
Art Spoelstra,/players/s/spoelar01.html,1955,1958,C,6-9,220,"September 11, 1932",Western Kentucky
Bruce Spraggins,/players/s/spragbr01.html,1968,1968,F,6-5,188,"August 31, 1939",Virginia Union University
Latrell Sprewell,/players/s/sprewla01.html,1993,2005,G,6-5,190,"September 8, 1970",Alabama
Larry Spriggs,/players/s/sprigla01.html,1982,1986,F,6-7,230,"September 8, 1959",Howard University
Jaden Springer,/players/s/sprinja01.html,2022,2022,G,6-4,204,"September 25, 2002",Tennessee
Jim Springer,/players/s/sprinji01.html,1949,1949,C,6-9,235,"June 17, 1926",
Jim Spruill,/players/s/spruiji01.html,1949,1949,G,6-2,225,"February 26, 1923",Rice University
Ryan Stack,/players/s/stackry01.html,1999,2000,F,6-11,215,"July 24, 1975",South Carolina
Jerry Stackhouse,/players/s/stackje01.html,1996,2013,G-F,6-6,218,"November 5, 1974",UNC
Kevin Stacom,/players/s/stacoke01.html,1975,1982,G,6-3,185,"September 4, 1951","Holy Cross, Providence"
Erv Staggs,/players/s/stagger01.html,1970,1970,F-G,6-6,195,"September 1, 1948","North Carolina A&T, Cheyney (PA)"
Bud Stallworth,/players/s/stallbu01.html,1973,1977,F-G,6-5,190,"January 18, 1950",Kansas
Dave Stallworth,/players/s/stallda01.html,1966,1975,F-C,6-7,200,"December 20, 1941",Wichita State
Ed Stanczak,/players/s/stanced01.html,1950,1951,F,6-1,185,"August 15, 1921",
Cassius Stanley,/players/s/stanlca01.html,2021,2022,G,6-5,190,"August 18, 1999",Duke
Terence Stansbury,/players/s/stanste01.html,1985,1987,G,6-5,170,"February 27, 1961",Temple
John Starks,/players/s/starkjo01.html,1989,2002,G,6-3,180,"August 10, 1965",Oklahoma State
Keith Starr,/players/s/starrke01.html,1977,1977,G-F,6-6,190,"March 14, 1954",Pitt
Nik Stauskas,/players/s/stausni01.html,2015,2022,G,6-6,205,"October 7, 1993",Michigan
Larry Staverman,/players/s/stavela01.html,1959,1964,F,6-7,205,"October 11, 1936",Thomas More College
Larry Steele,/players/s/steella01.html,1972,1980,G-F,6-5,180,"May 5, 1949",Kentucky
Matt Steigenga,/players/s/steigma01.html,1997,1997,F,6-7,225,"March 27, 1970",Michigan State
Vladimir Stepania,/players/s/stepavl01.html,1999,2004,C,7-0,236,"May 8, 1976",
D.J. Stephens,/players/s/stephdj01.html,2014,2019,G-F,6-5,188,"December 19, 1990",Memphis
Everette Stephens,/players/s/stephev01.html,1989,1991,G,6-2,175,"October 21, 1966",Purdue
Jack Stephens,/players/s/stephja01.html,1956,1956,G-F,6-3,185,"May 18, 1933",Notre Dame
Joe Stephens,/players/s/stephjo01.html,1997,2000,F,6-7,210,"January 28, 1973","Colorado, Little Rock"
Lance Stephenson,/players/s/stephla01.html,2011,2022,G-F,6-6,230,"September 5, 1990",Cincinnati
Alex Stepheson,/players/s/stephal01.html,2016,2016,F,6-10,270,"August 7, 1987","UNC, USC"
Brook Steppe,/players/s/steppbr01.html,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Tech
Barry Stevens,/players/s/steveba01.html,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State
Lamar Stevens,/players/s/stevela01.html,2021,2022,F,6-6,230,"July 9, 1997",Penn State
Wayne Stevens,/players/s/stevewa01.html,1960,1960,F,6-3,185,"June 19, 1936",Cincinnati
DeShawn Stevenson,/players/s/stevede01.html,2001,2013,G,6-5,210,"April 3, 1981",
Dennis Stewart,/players/s/stewade01.html,1971,1971,F,6-6,220,"April 11, 1947",Michigan
Isaiah Stewart,/players/s/stewais01.html,2021,2022,F-C,6-8,250,"May 22, 2001",Washington
Kebu Stewart,/players/s/stewake01.html,1998,1998,F,6-8,239,"December 19, 1973","UNLV, Cal State-Bakersfield"
Larry Stewart,/players/s/stewala01.html,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University
Michael Stewart,/players/s/stewami01.html,1998,2005,C,6-10,230,"April 25, 1975",California
Norm Stewart,/players/s/stewano01.html,1957,1957,F,6-5,205,"January 20, 1935",Missouri
Greg Stiemsma,/players/s/stiemgr01.html,2012,2015,C,6-11,260,"September 26, 1985",Wisconsin
Steve Stipanovich,/players/s/stipast01.html,1984,1988,C,6-11,245,"November 17, 1960",Missouri
Bryant Stith,/players/s/stithbr01.html,1993,2002,G,6-5,208,"December 10, 1970",Virginia
Sam Stith,/players/s/stithsa01.html,1962,1962,G,6-2,185,"July 22, 1937",St. Bonaventure
Tom Stith,/players/s/stithto01.html,1963,1963,F,6-5,210,"January 21, 1939",St. Bonaventure
Alex Stivrins,/players/s/stivral01.html,1986,1993,F,6-8,220,"November 29, 1962","Creighton, Colorado"
David Stockton,/players/s/stockda01.html,2015,2018,G,5-11,165,"June 24, 1991",Gonzaga
John Stockton,/players/s/stockjo01.html,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga
Peja Stojaković,/players/s/stojape01.html,1999,2011,F,6-10,229,"June 9, 1977",
Ed Stokes,/players/s/stokeed01.html,1998,1998,C,7-0,264,"September 3, 1971",Arizona
Greg Stokes,/players/s/stokegr01.html,1986,1990,F-C,6-10,220,"August 5, 1963",Iowa
